spec,entry_threshold,transaction_cost,num_pairs,portfolio_weighting,max_pair_weight,min_pair_weight,gross_total_return,gross_sharpe,gross_sharpe_se,net_total_return,net_annual_return,net_annual_volatility,net_sharpe,net_sharpe_se,net_max_drawdown,net_daily_hit_rate,num_trades,trade_win_rate,avg_trade_return,avg_holding_days,fold,fdr_q,hmm_regime_at_test_start,test_start,test_end,chosen_threshold,transaction_cost_bps,num_training_pairs,num_final_pairs,num_final_stock_stock,num_final_stock_etf,num_final_fdr_pass,cost_model,cost_accounting
kalman_full,3.0,0.0,2,inverse_volatility,0.7164563805763114,0.2835436194236886,0.0,,,0.0014197292361974867,0.00285769128944019,0.00925735323517661,0.3086942041469666,0.09082500504829792,-0.005149325211528777,0.031496062992125984,4,0.5,-0.0026904694979252297,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,2020-07-01,2020-12-31,3.0,0,3.0,2.0,2.0,0.0,2.0,flat_bps,leg_level
static_ols,3.0,0.0,2,inverse_volatility,1.0,0.0,0.0,,,0.06486934372861608,0.12717508086211424,0.07079521422728355,1.7963796317336749,0.1434526422075564,-0.007194105129351924,0.031496062992125984,1,1.0,0.06486934372861608,8.0,fold_01_202007_202012,0.2,high_vol_at_test_start,,,,0,,,,,,,
kalman_base,3.0,0.0,2,inverse_volatility,0.7030035962687423,0.2969964037312577,0.0,,,0.002535425783354306,0.005172288096339007,0.017230956431244077,0.3001741729762802,0.09071250194077059,-0.009594395550024393,0.031496062992125984,4,0.5,-0.004535966589619106,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,,,,0,,,,,,,
kalman_filter,3.0,0.0,2,inverse_volatility,0.7030035962687423,0.2969964037312577,0.0,,,0.002535425783354306,0.005172288096339007,0.017230956431244077,0.3001741729762802,0.09071250194077059,-0.009594395550024393,0.031496062992125984,4,0.5,-0.004535966589619106,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,,,,0,,,,,,,
kalman_full,3.0,0.0005,2,inverse_volatility,0.7256400324983902,0.27435996750160985,0.0,,,0.0006159247448400684,0.0012615899729043192,0.008951926734712705,0.14092943455538764,0.089175159528125,-0.005257546723107409,0.031496062992125984,4,0.5,-0.0029676072977117274,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,2020-07-01,2020-12-31,3.0,5,3.0,2.0,2.0,0.0,2.0,flat_bps,leg_level
static_ols,3.0,0.0005,2,inverse_volatility,1.0,0.0,0.0,,,0.06380436206817852,0.1251908288936103,0.07082645593420787,1.7675715556049083,0.14203677582148236,-0.007194105129351924,0.031496062992125984,1,1.0,0.06433653033334519,8.0,fold_01_202007_202012,0.2,high_vol_at_test_start,,,,5,,,,,,,
kalman_base,3.0,0.0005,2,inverse_volatility,0.7124176830534624,0.2875823169465375,0.0,,,0.0010688125331417275,0.0022580550650095283,0.016678550133881795,0.1353867720445545,0.08914134529566316,-0.009786915300948329,0.031496062992125984,4,0.5,-0.005039456405482645,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,,,,5,,,,,,,
kalman_filter,3.0,0.0005,2,inverse_volatility,0.7124176830534624,0.2875823169465375,0.0,,,0.0010688125331417275,0.0022580550650095283,0.016678550133881795,0.1353867720445545,0.08914134529566316,-0.009786915300948329,0.031496062992125984,4,0.5,-0.005039456405482645,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,,,,5,,,,,,,
kalman_full,3.0,0.001,2,inverse_volatility,0.7343063706535685,0.2656936293464315,0.0,,,-0.00020260984413200678,-0.00036470572565486286,0.00867181001479168,-0.042056470913543656,0.08877487999370354,-0.005375052003348868,0.031496062992125984,4,0.5,-0.0032447446351206166,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,2020-07-01,2020-12-31,3.0,10,3.0,2.0,2.0,0.0,2.0,flat_bps,leg_level
static_ols,3.0,0.001,2,inverse_volatility,1.0,0.0,0.0,,,0.06273991322113659,0.12320657692510635,0.07087157305189873,1.738448458522052,0.1406145544563278,-0.007194105129352035,0.031496062992125984,1,1.0,0.06380371693807474,8.0,fold_01_202007_202012,0.2,high_vol_at_test_start,,,,10,,,,,,,
kalman_base,3.0,0.001,2,inverse_volatility,0.7213351055391953,0.2786648944608047,0.0,,,-0.0004241776555589105,-0.0007117675672279756,0.016169446544982286,-0.04401929065709746,0.08877862625721313,-0.009995506051503567,0.031496062992125984,4,0.5,-0.005542944746685152,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,,,,10,,,,,,,
kalman_filter,3.0,0.001,2,inverse_volatility,0.7213351055391953,0.2786648944608047,0.0,,,-0.0004241776555589105,-0.0007117675672279756,0.016169446544982286,-0.04401929065709746,0.08877862625721313,-0.009995506051503567,0.031496062992125984,4,0.5,-0.005542944746685152,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,,,,10,,,,,,,
kalman_full,3.0,0.0025,2,inverse_volatility,0.756528409943771,0.24347159005622898,0.0,,,-0.0027683250821302074,-0.005468521339809585,0.008035700628354259,-0.6805282566791637,0.09847496000800347,-0.006118987796671638,0.023622047244094488,4,0.25,-0.00407615387308069,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,2020-07-01,2020-12-31,3.0,25,3.0,2.0,2.0,0.0,2.0,flat_bps,leg_level
static_ols,3.0,0.0025,2,inverse_volatility,1.0,0.0,0.0,,,0.059549763560381885,0.11725382101959453,0.0710898720664457,1.6493744834707353,0.13632459219056062,-0.007194105129351924,0.031496062992125984,1,1.0,0.062205276752262506,8.0,fold_01_202007_202012,0.2,high_vol_at_test_start,,,,25,,,,,,,
kalman_base,3.0,0.0025,2,inverse_volatility,0.7444219740777557,0.25557802592224443,0.0,,,-0.0050992678266593705,-0.01003199113625713,0.014995160719458072,-0.6690152459145958,0.09816387951382823,-0.011326841468812132,0.023622047244094488,4,0.25,-0.007053400922326286,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,,,,25,,,,,,,
kalman_filter,3.0,0.0025,2,inverse_volatility,0.7444219740777557,0.25557802592224443,0.0,,,-0.0050992678266593705,-0.01003199113625713,0.014995160719458072,-0.6690152459145958,0.09816387951382823,-0.011326841468812132,0.023622047244094488,4,0.25,-0.007053400922326286,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,,,,25,,,,,,,
kalman_full,3.5,0.0,1,inverse_volatility,1.0,1.0,0.0,,,0.006988111338549263,0.014201645623503513,0.009962062076079676,1.4255728899344724,0.12751119597453134,0.0,0.008064516129032258,1,1.0,0.006988111338549263,1.0,fold_02_202010_202103,0.2,low_vol_at_test_start,2020-10-01,2021-03-31,3.5,0,10.0,1.0,1.0,0.0,1.0,flat_bps,leg_level
static_ols,3.5,0.0,1,inverse_volatility,1.0,1.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0,,,,fold_02_202010_202103,0.2,low_vol_at_test_start,,,,0,,,,,,,
kalman_base,3.5,0.0,1,inverse_volatility,1.0,1.0,0.0,,,0.012772159999443256,0.02595632516015908,0.0182076450411119,1.425572889934479,0.12751119597453164,0.0,0.008064516129032258,1,1.0,0.012772159999443256,1.0,fold_02_202010_202103,0.2,low_vol_at_test_start,,,,0,,,,,,,
kalman_filter,3.5,0.0,1,inverse_volatility,1.0,1.0,0.0,,,0.012772159999443256,0.02595632516015908,0.0182076450411119,1.425572889934479,0.12751119597453164,0.0,0.008064516129032258,1,1.0,0.012772159999443256,1.0,fold_02_202010_202103,0.2,low_vol_at_test_start,,,,0,,,,,,,
kalman_full,3.5,0.0005,1,inverse_volatility,1.0,1.0,0.0,,,0.006439138234024311,0.013089723628780423,0.009583179643875681,1.3659061099982268,0.12484990183911175,-0.00027356810981293833,0.008064516129032258,1,1.0,0.006714543228736547,1.0,fold_02_202010_202103,0.2,low_vol_at_test_start,2020-10-01,2021-03-31,3.5,5,10.0,1.0,1.0,0.0,1.0,flat_bps,leg_level
static_ols,3.5,0.0005,1,inverse_volatility,1.0,1.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0,,,,fold_02_202010_202103,0.2,low_vol_at_test_start,,,,5,,,,,,,
kalman_base,3.5,0.0005,1,inverse_volatility,1.0,1.0,0.0,,,0.011766023919443702,0.023924067095642945,0.017515162221270055,1.3659061099982304,0.1248499018391119,-0.0004999999999998339,0.008064516129032258,1,1.0,0.01227215999944331,1.0,fold_02_202010_202103,0.2,low_vol_at_test_start,,,,5,,,,,,,
kalman_filter,3.5,0.0005,1,inverse_volatility,1.0,1.0,0.0,,,0.011766023919443702,0.023924067095642945,0.017515162221270055,1.3659061099982304,0.1248499018391119,-0.0004999999999998339,0.008064516129032258,1,1.0,0.01227215999944331,1.0,fold_02_202010_202103,0.2,low_vol_at_test_start,,,,5,,,,,,,
kalman_full,3.5,0.001,1,inverse_volatility,1.0,1.0,0.0,,,0.005890314808520758,0.011977801634057332,0.009221464636506138,1.2989044697562844,0.12193257029936629,-0.0005471362196255436,0.008064516129032258,1,1.0,0.006440975118923609,1.0,fold_02_202010_202103,0.2,low_vol_at_test_start,2020-10-01,2021-03-31,3.5,10,10.0,1.0,1.0,0.0,1.0,flat_bps,leg_level
static_ols,3.5,0.001,1,inverse_volatility,1.0,1.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0,,,,fold_02_202010_202103,0.2,low_vol_at_test_start,,,,10,,,,,,,
kalman_base,3.5,0.001,1,inverse_volatility,1.0,1.0,0.0,,,0.010760387839443997,0.021891809031126815,0.016854056276544,1.2989044697562757,0.1219325702993659,-0.0009999999999998899,0.008064516129032258,1,1.0,0.011772159999443366,1.0,fold_02_202010_202103,0.2,low_vol_at_test_start,,,,10,,,,,,,
kalman_filter,3.5,0.001,1,inverse_volatility,1.0,1.0,0.0,,,0.010760387839443997,0.021891809031126815,0.016854056276544,1.2989044697562757,0.1219325702993659,-0.0009999999999998899,0.008064516129032258,1,1.0,0.011772159999443366,1.0,fold_02_202010_202103,0.2,low_vol_at_test_start,,,,10,,,,,,,
kalman_full,3.5,0.0025,1,inverse_volatility,1.0,1.0,0.0,,,0.004244742606138496,0.008642035649888065,0.008261368165590659,1.0460780196049027,0.11170018957554081,-0.0013678405490641365,0.008064516129032258,1,1.0,0.005620270789485238,1.0,fold_02_202010_202103,0.2,low_vol_at_test_start,2020-10-01,2021-03-31,3.5,25,10.0,1.0,1.0,0.0,1.0,flat_bps,leg_level
static_ols,3.5,0.0025,1,inverse_volatility,1.0,1.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0,,,,fold_02_202010_202103,0.2,low_vol_at_test_start,,,,25,,,,,,,
