transaction_cost_bps,avg_net_total_return,median_net_total_return,avg_net_sharpe,median_net_sharpe,avg_max_drawdown,folds,fdr_q,fold_set
0,0.0010392807929261853,0.0003313416268109215,0.35857232267869055,0.10554482894037054,-0.002978672316200546,11,0.1,non_overlapping
5,0.0003627960961134087,0.0,0.09158925604923407,-0.10903704895819874,-0.0032763680326702346,11,0.1,non_overlapping
10,-0.00031586258441792825,-0.00034152688796407205,-0.1497270832140886,-0.3685729974980735,-0.0035960409458089385,11,0.1,non_overlapping
25,-0.0023973725527366126,-0.0015579304890488421,-0.8812760139066506,-0.8323051760658841,-0.004788914211060283,11,0.1,non_overlapping
