spec,entry_threshold,transaction_cost,num_pairs,portfolio_weighting,max_pair_weight,min_pair_weight,gross_total_return,gross_sharpe,gross_sharpe_se,net_total_return,net_annual_return,net_annual_volatility,net_sharpe,net_sharpe_se,net_max_drawdown,net_daily_hit_rate,num_trades,trade_win_rate,avg_trade_return,avg_holding_days,fold,fdr_q,hmm_regime_at_test_start,test_start,test_end,chosen_threshold,transaction_cost_bps,num_training_pairs,num_final_pairs,num_final_stock_stock,num_final_stock_etf,num_final_fdr_pass,cost_model,cost_accounting
kalman_full,3.0,0.0,2,inverse_volatility,0.7164563805763114,0.2835436194236886,0.0,,,0.0014197292361974867,0.00285769128944019,0.00925735323517661,0.3086942041469666,0.09082500504829792,-0.005149325211528777,0.031496062992125984,4,0.5,-0.0026904694979252297,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,2020-07-01,2020-12-31,3.0,0,3,2,2,0,2,flat_bps,leg_level
kalman_full,3.0,0.0005,2,inverse_volatility,0.7256400324983902,0.27435996750160985,0.0,,,0.0006159247448400684,0.0012615899729043192,0.008951926734712705,0.14092943455538764,0.089175159528125,-0.005257546723107409,0.031496062992125984,4,0.5,-0.0029676072977117274,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,2020-07-01,2020-12-31,3.0,5,3,2,2,0,2,flat_bps,leg_level
kalman_full,3.0,0.001,2,inverse_volatility,0.7343063706535685,0.2656936293464315,0.0,,,-0.00020260984413200678,-0.00036470572565486286,0.00867181001479168,-0.042056470913543656,0.08877487999370354,-0.005375052003348868,0.031496062992125984,4,0.5,-0.0032447446351206166,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,2020-07-01,2020-12-31,3.0,10,3,2,2,0,2,flat_bps,leg_level
kalman_full,3.0,0.0025,2,inverse_volatility,0.756528409943771,0.24347159005622898,0.0,,,-0.0027683250821302074,-0.005468521339809585,0.008035700628354259,-0.6805282566791637,0.09847496000800347,-0.006118987796671638,0.023622047244094488,4,0.25,-0.00407615387308069,1.5,fold_01_202007_202012,0.2,high_vol_at_test_start,2020-07-01,2020-12-31,3.0,25,3,2,2,0,2,flat_bps,leg_level
kalman_full,3.5,0.0,1,inverse_volatility,1.0,1.0,0.0,,,0.006988111338549263,0.014201645623503513,0.009962062076079676,1.4255728899344724,0.12751119597453134,0.0,0.008064516129032258,1,1.0,0.006988111338549263,1.0,fold_02_202010_202103,0.2,low_vol_at_test_start,2020-10-01,2021-03-31,3.5,0,10,1,1,0,1,flat_bps,leg_level
kalman_full,3.5,0.0005,1,inverse_volatility,1.0,1.0,0.0,,,0.006439138234024311,0.013089723628780423,0.009583179643875681,1.3659061099982268,0.12484990183911175,-0.00027356810981293833,0.008064516129032258,1,1.0,0.006714543228736547,1.0,fold_02_202010_202103,0.2,low_vol_at_test_start,2020-10-01,2021-03-31,3.5,5,10,1,1,0,1,flat_bps,leg_level
kalman_full,3.5,0.001,1,inverse_volatility,1.0,1.0,0.0,,,0.005890314808520758,0.011977801634057332,0.009221464636506138,1.2989044697562844,0.12193257029936629,-0.0005471362196255436,0.008064516129032258,1,1.0,0.006440975118923609,1.0,fold_02_202010_202103,0.2,low_vol_at_test_start,2020-10-01,2021-03-31,3.5,10,10,1,1,0,1,flat_bps,leg_level
kalman_full,3.5,0.0025,1,inverse_volatility,1.0,1.0,0.0,,,0.004244742606138496,0.008642035649888065,0.008261368165590659,1.0460780196049027,0.11170018957554081,-0.0013678405490641365,0.008064516129032258,1,1.0,0.005620270789485238,1.0,fold_02_202010_202103,0.2,low_vol_at_test_start,2020-10-01,2021-03-31,3.5,25,10,1,1,0,1,flat_bps,leg_level
kalman_full,3.0,0.0,5,inverse_volatility,0.5077902307580251,0.0,0.0,,,0.004715647228417552,0.00964749079005611,0.004187170149126058,2.3040598892475685,0.17236626692168733,-0.0011042356461375968,0.04878048780487805,6,0.8333333333333334,0.004096815657390784,1.1666666666666667,fold_03_202101_202106,0.2,low_vol_at_test_start,2021-01-01,2021-06-30,3.0,0,10,5,4,1,0,flat_bps,leg_level
kalman_full,3.0,0.0005,5,inverse_volatility,0.5253654663656929,0.0,0.0,,,0.003894408908637237,0.007971364146245611,0.004003882063879883,1.990908827749316,0.15570085400095482,-0.0011765041824972622,0.04878048780487805,6,0.8333333333333334,0.0038419710225386927,1.1666666666666667,fold_03_202101_202106,0.2,low_vol_at_test_start,2021-01-01,2021-06-30,3.0,5,10,5,4,1,0,flat_bps,leg_level
