transaction_cost_bps,avg_net_total_return,median_net_total_return,avg_net_sharpe,median_net_sharpe,avg_max_drawdown,folds,fdr_q,fold_set
0,0.004023395078205383,0.0037358596051600967,1.0481411087835264,1.1687347760161897,-0.00342480309814418,10,0.2,non_overlapping
5,0.003043150717240717,0.0026401024872584333,0.8009166712032555,0.7240118925553699,-0.0036714914333119573,10,0.2,non_overlapping
10,0.00206554682039507,0.001378419366788286,0.5353034439775433,0.4700006948200863,-0.003918662285214624,10,0.2,non_overlapping
25,-0.0008420540729104032,-0.00024262338699676533,-0.3332605592665088,-0.17030698863825997,-0.004768024014368544,10,0.2,non_overlapping
