transaction_cost_bps,avg_net_total_return,median_net_total_return,avg_net_sharpe,median_net_sharpe,avg_max_drawdown,avg_trade_win_rate,avg_num_trades,avg_num_final_pairs,folds,fdr_q,fold_set
0,0.00408710639362952,0.002087900609050064,0.9909517028672552,0.8815104225994236,-0.0022924773634133257,0.749133428300095,5.2,3.2,20,0.2,all_folds
5,0.003231804099351415,0.001386589668591287,0.6821138367280017,0.6281028741577447,-0.002549715118602314,0.749133428300095,5.2,3.2,20,0.2,all_folds
10,0.002364413015819278,0.0005867348370603986,0.38746554571980585,0.3721587888753888,-0.0028566807892886513,0.7028371320037987,5.2,3.2,20,0.2,all_folds
25,-0.00025496314908266535,-0.00024262338699676533,-0.4117492218419528,-0.42541762265871186,-0.003995229722636934,0.6616690408357075,5.2,3.2,20,0.2,all_folds
